0	--	--	0.1	--	--	0.2	--	--	0.3	--	--	0.4	--	--	0.5	--	--	Slicl	--	--
5.08E-5	1.00184	0.9945	5.08E-5	1.00189	0.99436	5.08E-5	1.00196	0.99413	5.08E-5	1.00209	0.99375	5.08E-5	1.00231	0.9931	5.07E-5	1.00269	0.99196	5.08E-5	1.00177	0.9947	
6.91E-5	1.00215	0.99358	6.91E-5	1.0022	0.99342	6.91E-5	1.00229	0.99315	6.91E-5	1.00244	0.9927	6.91E-5	1.0027	0.99195	6.9E-5	1.00314	0.99062	6.92E-5	1.00207	0.99381	
9.95E-5	1.00258	0.9923	9.95E-5	1.00264	0.99211	9.95E-5	1.00275	0.99178	9.94E-5	1.00293	0.99125	9.94E-5	1.00324	0.99035	9.92E-5	1.00378	0.98875	9.95E-5	1.00249	0.99258	
1.55246E-4	1.00323	0.99038	1.55221E-4	1.00331	0.99014	1.55179E-4	1.00345	0.98973	1.55109E-4	1.00367	0.98906	1.54991E-4	1.00405	0.98794	1.54783E-4	1.00473	0.98595	1.55282E-4	1.00311	0.99072	
2.75399E-4	1.00431	0.98718	2.75339E-4	1.00442	0.98686	2.75239E-4	1.0046	0.98632	2.75073E-4	1.0049	0.98543	2.74795E-4	1.00541	0.98393	2.74301E-4	1.00632	0.98128	2.75484E-4	1.00415	0.98764	
6.16974E-4	1.00648	0.98079	6.16772E-4	1.00665	0.98031	6.16434E-4	1.00692	0.9795	6.15876E-4	1.00738	0.97817	6.14936E-4	1.00815	0.97593	6.1327E-4	1.00952	0.97197	6.17261E-4	1.00625	0.98148	
0.00244	1.01307	0.96174	0.00243	1.01341	0.96078	0.00243	1.01397	0.95919	0.00243	1.0149	0.95655	0.00242	1.01647	0.95211	0.00241	1.01927	0.94426	0.00244	1.0126	0.9631	
0.00246	1.01314	0.96155	0.00246	1.01348	0.96059	0.00246	1.01404	0.95898	0.00245	1.01497	0.95633	0.00244	1.01655	0.95187	0.00243	1.01937	0.94399	0.00246	1.01266	0.96291	
0.00248	1.01321	0.96135	0.00248	1.01354	0.96039	0.00248	1.01411	0.95878	0.00248	1.01505	0.95611	0.00247	1.01664	0.95163	0.00245	1.01947	0.94371	0.00249	1.01273	0.96273	
0.00251	1.01327	0.96116	0.00251	1.01361	0.96019	0.00251	1.01418	0.95857	0.0025	1.01513	0.95589	0.00249	1.01672	0.95139	0.00248	1.01957	0.94342	0.00251	1.01279	0.96254	
0.00253	1.01334	0.96096	0.00253	1.01368	0.95999	0.00253	1.01426	0.95836	0.00253	1.01521	0.95567	0.00252	1.01681	0.95114	0.0025	1.01967	0.94314	0.00254	1.01286	0.96235	
0.00256	1.01341	0.96077	0.00256	1.01376	0.95979	0.00256	1.01433	0.95815	0.00255	1.01529	0.95544	0.00254	1.0169	0.9509	0.00253	1.01977	0.94285	0.00256	1.01292	0.96216	
0.00259	1.01348	0.96057	0.00259	1.01383	0.95958	0.00258	1.01441	0.95793	0.00258	1.01537	0.95522	0.00257	1.01698	0.95065	0.00255	1.01988	0.94256	0.00259	1.01299	0.96197	
0.00261	1.01355	0.96036	0.00261	1.0139	0.95937	0.00261	1.01448	0.95772	0.0026	1.01545	0.95499	0.0026	1.01707	0.95039	0.00258	1.01998	0.94227	0.00262	1.01306	0.96177	
0.00264	1.01363	0.96016	0.00264	1.01397	0.95916	0.00264	1.01456	0.9575	0.00263	1.01553	0.95475	0.00262	1.01717	0.95014	0.00261	1.02009	0.94197	0.00264	1.01313	0.96157	
0.00267	1.0137	0.95995	0.00267	1.01405	0.95895	0.00266	1.01464	0.95728	0.00266	1.01561	0.95452	0.00265	1.01726	0.94988	0.00263	1.0202	0.94167	0.00267	1.0132	0.96137	
0.0027	1.01377	0.95974	0.00269	1.01412	0.95874	0.00269	1.01471	0.95706	0.00269	1.01569	0.95428	0.00268	1.01735	0.94962	0.00266	1.0203	0.94137	0.0027	1.01327	0.96117	
0.00272	1.01385	0.95953	0.00272	1.0142	0.95852	0.00272	1.01479	0.95683	0.00271	1.01578	0.95404	0.0027	1.01744	0.94936	0.00269	1.02041	0.94106	0.00273	1.01334	0.96097	
0.00275	1.01392	0.95932	0.00275	1.01428	0.9583	0.00275	1.01487	0.95661	0.00274	1.01586	0.9538	0.00273	1.01754	0.94909	0.00272	1.02053	0.94075	0.00275	1.01341	0.96076	
0.00278	1.014	0.9591	0.00278	1.01435	0.95808	0.00278	1.01495	0.95638	0.00277	1.01595	0.95356	0.00276	1.01763	0.94882	0.00275	1.02064	0.94044	0.00278	1.01349	0.96056	
0.00281	1.01407	0.95888	0.00281	1.01443	0.95786	0.00281	1.01504	0.95614	0.0028	1.01604	0.95331	0.00279	1.01773	0.94855	0.00277	1.02075	0.94012	0.00281	1.01356	0.96035	
0.00284	1.01415	0.95866	0.00284	1.01451	0.95763	0.00284	1.01512	0.95591	0.00283	1.01613	0.95306	0.00282	1.01783	0.94827	0.0028	1.02087	0.9398	0.00284	1.01364	0.96013	
0.00287	1.01423	0.95844	0.00287	1.01459	0.95741	0.00287	1.0152	0.95567	0.00286	1.01622	0.95281	0.00285	1.01793	0.948	0.00283	1.02098	0.93948	0.00287	1.01371	0.95992	
0.0029	1.01431	0.95822	0.0029	1.01467	0.95718	0.0029	1.01529	0.95543	0.00289	1.01591	0.95255	0.00288	1.01803	0.94771	0.00286	1.0211	0.93916	0.00291	1.01379	0.9597	
